date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:47	151074/151074	---M-Z	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/JEXqsPG3EA363hxhYVB10/2c81459ef404325d43ada24b1efb1087/Finn-Pattern.png	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/JEXqsPG3EA363hxhYVB10/2c81459ef404325d43ada24b1efb1087/Finn-Pattern.png	(from https://synthgliders.com/)
11:36:50	30875/30875	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/2WV47OLGSZe97D2Z94tywj/57d721cabaad23b2c57c46492fa2394a/bg2_PLACEHOLDER50cd50cd.jpg?q=50&w=3840	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/2WV47OLGSZe97D2Z94tywj/57d721cabaad23b2c57c46492fa2394a/bg2_PLACEHOLDER50cd50cd50cd.jpg	(from https://synthgliders.com/)
11:36:55	102801/102801	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/4UngstWOyTckG1c2VOeB0/ddf6c1f736a5eadd7c02ba88d6c2f3aa/Endless_arsenal_smallbf29bf29.png?q=80&w=1680	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/4UngstWOyTckG1c2VOeB0/ddf6c1f736a5eadd7c02ba88d6c2f3aa/Endless_arsenal_smallbf29bf29bf29.png	(from https://synthgliders.com/)
11:37:02	90466/90466	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/5d1c7xYNcq6bMRrWEfZC6F/0d99fa6b95defb3968e0a0284a5bd46b/Endless_power_smallbf29bf29.png?q=80&w=1680	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/5d1c7xYNcq6bMRrWEfZC6F/0d99fa6b95defb3968e0a0284a5bd46b/Endless_power_smallbf29bf29bf29.png	(from https://synthgliders.com/)
11:37:03	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/logos/sp-1200x630.jpg	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/logos/sp-1200x630.jpg	(from https://synthgliders.com/early-access.html)
11:37:03	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/logos/sp-1080x1080.jpg	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/logos/sp-1080x1080.jpg	(from https://synthgliders.com/early-access.html)
11:37:03	116611/116611	---M-Z	200	added ('OK')	image/png	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/o55jtYPNF4Z91movdlU0B/1e0c402ddbd14b9781fbc9beff0b4f9d/ErisnDuke_Glory_smallbf29bf29.png?q=80&w=1680	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/images.ctfassets.net/9tpgu2u9anrt/o55jtYPNF4Z91movdlU0B/1e0c402ddbd14b9781fbc9beff0b4f9d/ErisnDuke_Glory_smallbf29bf29bf29.png	(from https://synthgliders.com/)
11:37:03	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/index.htm	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/index.htm	(from https://synthgliders.com/early-access.html)
11:37:05	81678/81678	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/_next/static/chunks/pages/%5B%5B...slug%5D%5D-1c7b3134fdb8695b9f8b.js	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/_next/static/chunks/pages/[[...slug]]-1c7b3134fdb8695b9f8b-2.js	(from https://synthgliders.com/early-access.html)
11:37:07	261579/261579	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2022:17:31%20GMT	https://synthgliders.com/updates.html	C:/My%20Web%20Sites/BASLIYORUZ/synthgliders.com/updates-2.html	(from https://synthgliders.com/early-access.html)
